ts,id,id_paciente,fp1,fp2,t3,t4,o1,o2,c3,c4,evento
2025-06-18 07:45:32.347000+00:00,67c02259-55cd-4241-813f-2b3846f30515,Pablo,914.6558635630005,203.11376058798479,738.6427252815181,540.1181427979109,433.21779429010456,733.043322784936,171.5931561738104,-478.98723524488685,False
2025-06-18 07:45:32.349000+00:00,4ae16aa2-df20-447e-870b-9882b0c1452a,Pablo,2020.258071639047,989.4068329811505,2092.9801877021273,616.4128194125994,575.1308232051338,288.7291613660868,164.81022210996204,219.4938955204121,False
2025-06-18 07:45:32.351000+00:00,c0e2f1ee-4e45-4538-b57d-b3cd15b84c5c,Pablo,361.28951851549687,666.4967349979725,1477.4440783348962,-22.19893719154304,-723.4552439188255,-319.0988078740615,-906.4054167343351,1003.9698129637566,False
2025-06-18 07:45:32.353000+00:00,f4e2b534-2a0b-4d3a-a5f0-6b52803542c7,Pablo,-765.7959663282036,48.89239963145164,-851.5379346167906,316.4372252040493,-1393.3323497449217,2109.3486416486307,-42.426224557616784,-1608.1370589376165,False
2025-06-18 07:45:32.355000+00:00,a4a42ae5-eb4a-4a96-9c4f-2022f448a41c,Pablo,650.9532605387437,926.4245487771218,-1414.1878255318966,223.79760534076075,698.2522248841531,1277.1209752646782,980.2277057262779,-734.6491536571152,False
2025-06-18 07:45:32.357000+00:00,ee48a024-f19b-4937-ab58-04ba80e6e62d,Pablo,-501.9187237553587,-108.79559458458115,890.0911374758023,-859.3244092068537,2299.2225590349276,-1963.7509940455732,-956.279457338382,1015.0432145039085,False
2025-06-18 07:45:32.359000+00:00,4feb4d13-745c-4223-a9b1-5f0634554a91,Pablo,-761.3734378076322,-1226.4288524630165,523.9656809034504,-396.65566416346354,84.98421272219588,243.21954582586784,-756.687298748288,-409.0111657205074,False
2025-06-18 07:45:32.361000+00:00,fd72a9e0-6316-479e-8df8-f17dba317fd6,Pablo,624.5205021320572,258.46024869972223,-318.77263243601635,751.7634158343016,-1695.5809576161105,2695.324371228329,1268.6075979190034,2006.3960984890068,False
2025-06-18 07:45:32.363000+00:00,f7071555-7d90-4bc3-8e24-98406c2d4f99,Pablo,1374.0178275947383,86.14759472075545,1221.0653256603555,422.1780820892511,255.4213927778919,154.1020644605968,2033.9695167581106,1972.6302547161085,False
2025-06-18 07:45:32.365000+00:00,3315d3e9-6612-4ab1-baa1-7ad84f67b2f6,Pablo,1190.329386915027,-379.228477978824,-1107.6896297436092,-319.1456416190392,977.2529866490256,-446.584825961212,944.3619450573257,-896.8852720321689,False
